Zona,Freguesia,ID Freguesia,Época de Construção,Número de Edifícios
Ocidental,Ajuda,110601,Até 1945,1018
Ocidental,Ajuda,110601,De 1946 a 1980,1398
Ocidental,Ajuda,110601,De 1981 a 2000,131
Ocidental,Ajuda,110601,De 2001 a 2010,92
Ocidental,Ajuda,110601,De 2011 a 2021,77
Ocidental,Alcântara,110602,Até 1945,729
Ocidental,Alcântara,110602,De 1946 a 1980,607
Ocidental,Alcântara,110602,De 1981 a 2000,70
Ocidental,Alcântara,110602,De 2001 a 2010,55
Ocidental,Alcântara,110602,De 2011 a 2021,32
Centro,Alvalade,110654,Até 1945,121
Centro,Alvalade,110654,De 1946 a 1980,2132
Centro,Alvalade,110654,De 1981 a 2000,137
Centro,Alvalade,110654,De 2001 a 2010,70
Centro,Alvalade,110654,De 2011 a 2021,29
Centro,Areeiro,110655,Até 1945,488
Centro,Areeiro,110655,De 1946 a 1980,678
Centro,Areeiro,110655,De 1981 a 2000,146
Centro,Areeiro,110655,De 2001 a 2010,52
Centro,Areeiro,110655,De 2011 a 2021,13
Centro,Arroios,110656,Até 1945,1686
Centro,Arroios,110656,De 1946 a 1980,1015
Centro,Arroios,110656,De 1981 a 2000,123
Centro,Arroios,110656,De 2001 a 2010,84
Centro,Arroios,110656,De 2011 a 2021,45
Centro,Avenidas Novas,110657,Até 1945,477
Centro,Avenidas Novas,110657,De 1946 a 1980,920
Centro,Avenidas Novas,110657,De 1981 a 2000,172
Centro,Avenidas Novas,110657,De 2001 a 2010,153
Centro,Avenidas Novas,110657,De 2011 a 2021,37
Oriental,Beato,110607,Até 1945,628
Oriental,Beato,110607,De 1946 a 1980,937
Oriental,Beato,110607,De 1981 a 2000,99
Oriental,Beato,110607,De 2001 a 2010,51
Oriental,Beato,110607,De 2011 a 2021,15
Ocidental,Belém,110658,Até 1945,638
Ocidental,Belém,110658,De 1946 a 1980,1641
Ocidental,Belém,110658,De 1981 a 2000,346
Ocidental,Belém,110658,De 2001 a 2010,211
Ocidental,Belém,110658,De 2011 a 2021,49
Norte,Benfica,110608,Até 1945,91
Norte,Benfica,110608,De 1946 a 1980,1909
Norte,Benfica,110608,De 1981 a 2000,346
Norte,Benfica,110608,De 2001 a 2010,119
Norte,Benfica,110608,De 2011 a 2021,28
Centro Histórico,Campo de Ourique,110659,Até 1945,1226
Centro Histórico,Campo de Ourique,110659,De 1946 a 1980,970
Centro Histórico,Campo de Ourique,110659,De 1981 a 2000,137
Centro Histórico,Campo de Ourique,110659,De 2001 a 2010,76
Centro Histórico,Campo de Ourique,110659,De 2011 a 2021,52
Centro,Campolide,110610,Até 1945,787
Centro,Campolide,110610,De 1946 a 1980,1159
Centro,Campolide,110610,De 1981 a 2000,171
Centro,Campolide,110610,De 2001 a 2010,107
Centro,Campolide,110610,De 2011 a 2021,31
Norte,Carnide,110611,Até 1945,174
Norte,Carnide,110611,De 1946 a 1980,641
Norte,Carnide,110611,De 1981 a 2000,478
Norte,Carnide,110611,De 2001 a 2010,72
Norte,Carnide,110611,De 2011 a 2021,18
Centro Histórico,Estrela,110660,Até 1945,1637
Centro Histórico,Estrela,110660,De 1946 a 1980,798
Centro Histórico,Estrela,110660,De 1981 a 2000,143
Centro Histórico,Estrela,110660,De 2001 a 2010,119
Centro Histórico,Estrela,110660,De 2011 a 2021,84
Norte,Lumiar,110618,Até 1945,123
Norte,Lumiar,110618,De 1946 a 1980,647
Norte,Lumiar,110618,De 1981 a 2000,683
Norte,Lumiar,110618,De 2001 a 2010,391
Norte,Lumiar,110618,De 2011 a 2021,56
Oriental,Marvila,110621,Até 1945,292
Oriental,Marvila,110621,De 1946 a 1980,646
Oriental,Marvila,110621,De 1981 a 2000,445
Oriental,Marvila,110621,De 2001 a 2010,95
Oriental,Marvila,110621,De 2011 a 2021,12
Centro Histórico,Misericórdia,110661,Até 1945,1649
Centro Histórico,Misericórdia,110661,De 1946 a 1980,239
Centro Histórico,Misericórdia,110661,De 1981 a 2000,31
Centro Histórico,Misericórdia,110661,De 2001 a 2010,55
Centro Histórico,Misericórdia,110661,De 2011 a 2021,33
Oriental,Olivais,110633,Até 1945,203
Oriental,Olivais,110633,De 1946 a 1980,1990
Oriental,Olivais,110633,De 1981 a 2000,373
Oriental,Olivais,110633,De 2001 a 2010,137
Oriental,Olivais,110633,De 2011 a 2021,38
Oriental,Parque das Nações,110662,Até 1945,69
Oriental,Parque das Nações,110662,De 1946 a 1980,131
Oriental,Parque das Nações,110662,De 1981 a 2000,220
Oriental,Parque das Nações,110662,De 2001 a 2010,355
Oriental,Parque das Nações,110662,De 2011 a 2021,2
Centro Histórico,Penha de França,110663,Até 1945,1115
Centro Histórico,Penha de França,110663,De 1946 a 1980,1086
Centro Histórico,Penha de França,110663,De 1981 a 2000,157
Centro Histórico,Penha de França,110663,De 2001 a 2010,55
Centro Histórico,Penha de França,110663,De 2011 a 2021,12
Norte,Santa Clara,110664,Até 1945,163
Norte,Santa Clara,110664,De 1946 a 1980,796
Norte,Santa Clara,110664,De 1981 a 2000,378
Norte,Santa Clara,110664,De 2001 a 2010,330
Norte,Santa Clara,110664,De 2011 a 2021,8
Centro Histórico,Santa Maria Maior,110665,Até 1945,1598
Centro Histórico,Santa Maria Maior,110665,De 1946 a 1980,191
Centro Histórico,Santa Maria Maior,110665,De 1981 a 2000,122
Centro Histórico,Santa Maria Maior,110665,De 2001 a 2010,47
Centro Histórico,Santa Maria Maior,110665,De 2011 a 2021,20
Centro,Santo António,110666,Até 1945,861
Centro,Santo António,110666,De 1946 a 1980,456
Centro,Santo António,110666,De 1981 a 2000,43
Centro,Santo António,110666,De 2001 a 2010,41
Centro,Santo António,110666,De 2011 a 2021,70
Norte,São Domingos de Benfica,110639,Até 1945,257
Norte,São Domingos de Benfica,110639,De 1946 a 1980,1037
Norte,São Domingos de Benfica,110639,De 1981 a 2000,248
Norte,São Domingos de Benfica,110639,De 2001 a 2010,145
Norte,São Domingos de Benfica,110639,De 2011 a 2021,39
Centro Histórico,São Vicente,110667,Até 1945,1497
Centro Histórico,São Vicente,110667,De 1946 a 1980,626
Centro Histórico,São Vicente,110667,De 1981 a 2000,60
Centro Histórico,São Vicente,110667,De 2001 a 2010,54
Centro Histórico,São Vicente,110667,De 2011 a 2021,21
